County Name,County Name,African American,Central and Southwest Asian ,Eastern European ,Far Eastern ,Hispanic ,Jewish ,Mediterranean ,Middle Eastern ,Native American ,Other ,Polynesian ,Scandinavian ,Southeast Asian ,Western European ,,Total,Caucasian,African-American,Hispanic,Asian,Native American,Other
Alamance,Alamance County,7867,10,96,138,4084,132,959,168,89,0,79,89,39,7207,,"20,957",6.09,37.5,19.5,1.27,0.42,0.8
Alexander,Alexander County,373,1,21,62,363,50,109,6,21,0,5,25,15,2168,,"3,219",6.37,11.6,11.3,2.58,0.65,0.19
Alleghany,Alleghany County,28,0,6,2,184,14,39,2,16,0,4,4,0,520,,819,7.69,3.4,22.5,0.73,1.95,0.24
Anson,Anson County,2841,0,5,35,83,19,51,10,8,0,9,4,0,938,,"4,003",1.97,71,2.1,1.1,0.2,0.25
Ashe,Ashe County,66,2,18,7,222,35,79,3,6,0,1,26,4,1311,,"1,780",8.88,3.7,12.5,0.79,0.34,0.17
Avery,Avery County,35,0,6,0,72,16,44,12,2,0,3,10,2,615,,817,9.3,4.3,8.8,0.61,0.24,1.47
Beaufort,Beaufort County,2716,0,30,17,592,31,193,35,8,0,9,25,3,2113,,"5,772",4.83,47.1,10.3,0.5,0.14,0.61
Bertie,Bertie County,5009,0,4,3,53,11,22,6,13,0,0,3,2,188,,"5,314",0.75,94.3,1,0.09,0.24,0.11
Bladen,Bladen County,2751,0,19,24,373,11,63,11,84,1,10,14,1,1266,,"4,628",2.31,59.4,8.1,0.76,1.82,0.26
Brunswick,Brunswick County,2967,5,163,70,1516,148,1572,88,76,2,42,106,8,5911,,"12,674",15.69,23.4,12,0.99,0.6,0.71
Buncombe,Buncombe County,4587,11,407,226,3849,430,2569,318,145,3,93,292,63,13849,,"26,842",13.78,17.1,14.3,1.46,0.54,1.2
Burke,Burke County,1151,0,50,510,1010,118,264,49,30,1,30,57,46,4568,,"7,884",6.2,14.6,12.8,7.43,0.38,0.63
Cabarrus,Cabarrus County,8744,14,258,290,5172,259,2072,420,139,1,98,170,134,10812,,"28,583",9.65,30.6,18.1,1.88,0.49,1.47
Caldwell,Caldwell County,1009,1,46,57,1045,92,294,32,21,0,11,93,18,4938,,"7,657",6.86,13.2,13.6,1.14,0.27,0.42
Camden,Camden County,361,0,15,6,60,15,83,15,3,0,4,11,2,585,,"1,160",10.69,31.1,5.2,1.03,0.26,1.29
Carteret,Carteret County,929,4,81,41,731,69,648,60,34,0,24,61,9,3682,,"6,373",13.48,14.6,11.5,1.22,0.53,0.94
