County Name,All African American Ethnic Groups (Ethnic Group),Central and Southwest Asian (Ethnic Group),Eastern European (Ethnic Group),Far Eastern (Ethnic Group),Hispanic (Ethnic Group),Jewish (Ethnic Group),Mediterranean (Ethnic Group),Middle Eastern (Ethnic Group),Native American (Ethnic Group),Other (Ethnic Group),Polynesian (Ethnic Group),Scandinavian (Ethnic Group),Southeast Asian (Ethnic Group),Western European (Ethnic Group),,,Total,Caucasian,African-American,Hispanic,Asian,Native American,Other
Abbeville,820,0,37,23,119,51,84,12,8,0,2,39,6,3398,,,4599,3609,17.8299630354425%,,,,
Aiken,5573,14,480,430,3146,597,1405,188,56,3,131,476,126,25200,,,37825,28158,14.73,,,,
Allendale,2298,0,2,14,59,15,26,5,2,0,0,7,2,65,,,2495,115,92.10,,,,
Anderson,3967,14,605,421,2497,435,1377,216,59,3,127,401,264,31371,,,41757,34189,9.50,,,,
Bamberg,2888,1,6,13,47,32,68,4,2,0,1,30,6,987,,,4085,1123,70.70,,,,
Barnwell,1860,0,27,32,146,40,119,11,7,0,3,41,9,2241,,,4536,2468,41.01,,,,
Beaufort,5672,28,1307,569,4959,1033,3864,265,57,8,141,699,115,28188,,,46905,35091,12.09,,,,
Berkeley,7942,26,977,628,4885,875,2673,318,56,3,344,675,178,32984,,,52564,38184,15.11,,,,
Calhoun,2301,0,16,10,117,74,60,12,2,0,8,24,3,1550,,,4177,1724,55.09,,,,
Charleston,26032,82,2073,1395,5210,2136,6385,830,108,4,307,1371,440,52803,,,99176,64768,26.25,,,,
Cherokee,1527,0,90,76,653,62,150,43,20,1,24,77,48,7017,,,9788,7396,15.60,,,,
Chester,1811,1,32,29,219,52,118,10,59,0,11,31,21,3950,,,6344,4183,28.55,,,,
Chesterfield,1166,0,29,44,390,79,136,23,28,0,19,56,22,6005,,,7997,6305,14.58,,,,
Clarendon,3408,0,56,41,257,73,103,11,4,1,4,74,35,3407,,,7474,3713,45.60,,,,
Colleton,3954,2,74,30,329,119,197,12,4,0,16,86,15,5106,,,9944,5582,39.76,,,,
Darlington,4399,2,66,64,389,192,220,24,35,0,10,121,35,7505,,,13062,8104,33.68,,,,
Dillon,2515,0,26,16,224,40,57,23,18,0,5,24,7,2724,,,5679,2871,44.29,,,,
Dorchester,4742,16,694,516,3203,609,2111,218,49,1,172,438,131,23041,,,35941,26893,13.19,,,,
Edgefield,1132,1,51,34,250,41,113,13,2,0,9,49,5,3067,,,4767,3321,23.75,,,,
Fairfield,2726,0,31,12,136,54,46,11,6,0,4,27,15,2218,,,5286,2376,51.57,,,,
Florence,13665,3,207,351,1076,385,721,161,60,2,64,235,202,14388,,,31520,15936,43.35,,,,
Georgetown,4703,5,283,98,508,231,767,56,23,0,13,163,24,8302,,,15176,9746,30.99,,,,
Greenville,13090,66,2015,2310,13850,1753,5903,1347,169,8,317,1488,1027,71620,,,114963,82779,11.39,,,,
Greenwood,1969,2,95,148,895,150,322,29,17,0,33,147,59,9158,,,13024,9872,15.12,,,,
Hampton,2452,1,21,18,99,59,69,2,3,0,0,21,18,1295,,,4058,1465,60.42,,,,
Horry,5182,79,2347,952,5877,1636,7716,643,102,3,220,965,275,51694,,,77691,64358,6.67,,,,
Jasper,1669,6,123,44,869,129,325,25,7,1,20,75,28,3684,,,7005,4336,23.83,,,,
Kershaw,2038,3,162,90,1024,172,395,51,14,0,18,163,27,10018,,,14175,10910,14.38,,,,
Lancaster,2523,14,516,288,1856,341,1421,205,62,1,70,222,277,12999,,,20795,15499,12.13,,,,
Laurens,2057,8,109,75,978,124,270,21,29,0,22,126,35,9177,,,13031,9806,15.79,,,,
Lee,2899,0,19,13,103,44,46,7,4,0,4,32,8,1439,,,4618,1580,62.78,,,,
Lexington,4614,18,908,987,5199,975,2860,471,190,3,161,716,593,44455,,,62150,49914,7.42,,,,
Marion,3295,0,45,58,246,38,88,16,3,0,6,20,13,2769,,,6597,2960,49.95,,,,
Marlboro,2590,0,13,20,94,63,52,13,16,0,2,28,6,2210,,,5107,2366,50.71,,,,
McCormick,470,0,21,9,17,17,48,5,1,0,2,16,3,909,,,1518,1011,30.96,,,,
Newberry,1222,1,54,53,862,105,181,26,12,0,8,35,4,4805,,,7368,5180,16.59,,,,
Oconee,949,7,221,144,1247,220,586,70,34,0,21,164,44,12029,,,15736,13220,6.03,,,,
Orangeburg,18681,0,104,151,449,290,282,81,13,2,33,101,153,4533,,,24873,5310,75.11,,,,
Pickens,898,6,277,319,1449,263,842,159,36,1,73,241,111,16494,,,21169,18117,4.24,,,,
Richland,42131,51,1141,1779,6075,1479,2864,878,138,5,300,1010,629,48066,,,106546,54560,39.54,,,,
Saluda,427,0,21,22,467,23,81,3,6,0,6,30,1,2111,,,3198,2266,13.35,,,,
Spartanburg,10680,29,1950,1635,7364,871,2176,460,95,3,174,713,481,45314,,,71945,51024,14.84,,,,
Sumter,11795,5,254,237,1234,332,615,81,39,1,54,284,80,12301,,,27312,13786,43.19,,,,
Union,690,1,18,23,108,50,82,9,14,0,11,16,6,3900,,,4928,4066,14.00,,,,
Williamsburg,8842,0,29,20,95,61,38,16,3,0,10,38,14,1600,,,10766,1766,82.13,,,,
York,8787,32,1240,1210,5314,933,3819,577,107,4,194,692,933,36923,,,60765,43607,14.46,,,,
