County Name,All African American Ethnic Groups ,Central and Southwest Asian ,Eastern European ,Far Eastern ,Hispanic ,Jewish ,Mediterranean ,Middle Eastern ,Native American ,Other ,Polynesian ,Scandinavian ,Southeast Asian ,Western European 
Alamance,7867,10,96,138,4084,132,959,168,89,0,79,89,39,7207
Alexander,373,1,21,62,363,50,109,6,21,0,5,25,15,2168
Alleghany,28,0,6,2,184,14,39,2,16,0,4,4,0,520
Anson,2841,0,5,35,83,19,51,10,8,0,9,4,0,938
Ashe,66,2,18,7,222,35,79,3,6,0,1,26,4,1311
Avery,35,0,6,0,72,16,44,12,2,0,3,10,2,615
Beaufort,2716,0,30,17,592,31,193,35,8,0,9,25,3,2113
Bertie,5009,0,4,3,53,11,22,6,13,0,0,3,2,188
Bladen,2751,0,19,24,373,11,63,11,84,1,10,14,1,1266
Brunswick,2967,5,163,70,1516,148,1572,88,76,2,42,106,8,5911
Buncombe,4587,11,407,226,3849,430,2569,318,145,3,93,292,63,13849
Burke,1151,0,50,510,1010,118,264,49,30,1,30,57,46,4568
Cabarrus,8744,14,258,290,5172,259,2072,420,139,1,98,170,134,10812
Caldwell,1009,1,46,57,1045,92,294,32,21,0,11,93,18,4938
Camden,361,0,15,6,60,15,83,15,3,0,4,11,2,585
Carteret,929,4,81,41,731,69,648,60,34,0,24,61,9,3682
Caswell,1673,0,11,6,192,9,51,8,9,0,1,9,1,1042
Catawba,3344,2,148,835,3347,296,879,120,72,0,49,98,64,8496
Chatham,1942,5,92,85,1790,94,733,144,25,0,25,70,29,3315
Cherokee,121,0,27,8,186,14,158,14,50,0,5,30,7,1448
Chowan,1121,0,6,4,90,6,60,3,6,0,4,12,0,586
Clay,33,0,5,1,93,6,70,3,4,0,0,21,0,605
Cleveland,5339,3,45,71,740,91,305,43,38,2,15,54,26,5207
Columbus,3507,0,23,17,528,20,126,20,300,0,6,18,4,2381
Craven,5194,8,103,107,1746,102,819,103,39,0,50,73,14,4926
Cumberland,37278,7,310,476,10185,392,2168,470,752,3,289,329,94,17550
Currituck,348,1,29,14,306,36,308,9,16,0,11,33,0,1516
Dare,165,0,45,11,414,48,400,20,15,0,4,29,3,1549
Davidson,3949,3,119,188,2724,171,726,154,107,1,48,110,30,9837
Davie,699,0,30,14,677,46,301,49,11,0,10,54,9,2506
Duplin,2580,0,15,12,1745,14,150,28,11,0,16,19,0,1796
Durham,41267,34,542,887,7775,812,2709,1080,156,3,253,370,312,16408
Edgecombe,11838,0,10,21,425,45,60,45,17,0,10,18,4,1159
Forsyth,31344,18,339,415,9257,492,2678,628,198,0,175,327,114,15979
Franklin,4059,2,63,34,1199,53,488,86,45,0,22,45,10,3106
Gaston,8780,0,163,233,3486,226,1279,199,140,2,69,152,102,11756
Gates,934,1,11,2,55,7,29,3,2,0,4,7,0,460
Graham,12,0,6,2,23,10,27,3,62,0,0,7,0,380
Granville,4512,0,32,27,854,41,280,60,35,0,21,24,5,2486
Greene,1481,0,3,5,529,12,50,9,4,0,5,6,4,754
Guilford,66283,24,795,1457,9443,984,3572,2078,343,3,240,603,366,30863
Halifax,9998,0,16,49,248,41,91,38,260,0,6,23,12,1553
Harnett,5795,2,110,79,3548,98,793,107,206,2,88,84,15,5822
Haywood,232,1,34,25,557,83,355,15,27,0,17,54,3,3498
Henderson,893,8,106,80,2172,120,948,81,44,0,41,114,18,5490
Hertford,6159,1,2,13,78,9,41,15,14,0,1,7,5,77
Hoke,4854,1,39,35,1605,45,320,78,788,0,46,29,8,2155
Hyde,207,0,1,1,31,1,3,0,0,0,0,2,0,164
